MLB.com player ID,Rotogrinders player name,Team
547170,Nick Delmonico,CWS
641313,Timothy Anderson,CWS
642162,Patrick Valaika,COL
502054,Thomas Pham,STL
444489,Manuel Pina,MIL
546991,Albert Almora,CHC
622110,Matt Duffy,TB
621563,Joseph Wendle,TB
598265,Jackie Bradley,BOS
605357,Michael Marjama,SEA
608701,Robert Refsnyder,TB
592206,Nick Castellanos,DET
572191,Michael Taylor,WAS
643327,Zachary Godley,ARI
592314,Michael Foltynewicz,ATL
624636,Carlos Tocci,TEX
641598,Mitchell Garver,MIN
621035,Christopher Taylor,LAD
571771,Enrique Hernandez,LAD
595956,Cameron Gallagher,KC
605498,Andrew Suarez,SF
493329,Yulieski Gurriel,HOU
621389,Tyson Blach,SF
519333,Matthew Szczur,SD
608654,John Field,TB
601713,Nicholas Pivetta,PHI
543776,J.B. Shuck,MIA
592826,Vincent Velasquez,PHI
592325,Benjamin Gamel,SEA
666971,Lourdes Gurriel,TOR
571510,Matt Boyd,DET
660670,Ronald Acuna,ATL
571974,John Murphy,ARI
571974,John Ryan,ARI
519306,Steve Souza,ARI
621559,Maxwell Moroff,CLE
518902,Peter Kozma,DET
570482,Giovanny Urshela,NYY
605397,Joseph Musgrove,PIT
595885,Gregory Bird,NYY
641343,Jakob Bauers,CLE
600303,Tommy La,CHC
628336,Jose Miguel,LAA
621381,Matthew Strahm,SD
609275,Raul Mondesi,KC
595222,Michael Gerber,DET
576788,Daniel Butler,BOS
656775,Boyce Mullins,BAL
607188,Jacob Faria,TB
622046,Christopher Shaw,SF
642770,Javier Guerra,SD
628356,Jung-Ho Kang,PIT
621006,Richard Martin,BAL
663978,Christopher Paddack,SD
645801,Michael Ford,NYY
502273,Michael Freeman,CLE
594838,Philip Gosselin,PHI
594965,Daniel Poncedeleon,STL
596105,Dwight Smith,BAL
664034,Tyler France,SD
595222,Michael Gerber,SF
